Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Genres,Record Label,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,thank u next,thank u next,Ariana Grande,2019-02-08,207320,82,True,pop,Republic Records,0.72,0.654,-5.634,1,0.0647,0.227,0.0,0.101,0.411,106.976,4
spotify:track:2Fxmhks0bxGSBdJ92vM42m,bad guy,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,2019-03-29,194087,85,False,,Darkroom/Interscope Records,0.701,0.425,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
spotify:track:6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes (Deluxe),"Shawn Mendes,Camila Cabello",2019-06-19,190799,83,False,,Island Records,0.759,0.548,-6.049,0,0.0289,0.0379,0.0,0.0828,0.75,116.963,4
spotify:track:6ocbgoVGwYJhOv1GgI9NsF,7 rings,thank u next,Ariana Grande,2019-02-08,178626,86,True,pop,Republic Records,0.777,0.317,-10.732,0,0.308,0.591,0.0,0.0881,0.33,139.848,4
spotify:track:0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,"Post Malone,Swae Lee",2019-09-06,157560,85,False,,Republic Records,0.755,0.522,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,4
spotify:track:2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Hyperion,"Gesaffelstein,The Weeknd",2019-03-08,202093,84,True,,Columbia,0.658,0.671,-12.21,1,0.0364,0.0928,0.000919,0.115,0.165,100.967,4
spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,Without Me,Manic,Halsey,2020-01-17,201660,85,True,,Capitol Records,0.752,0.488,-7.05,1,0.0705,0.293,9.2e-06,0.0936,0.533,136.07,4
spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX,Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,2019-08-30,202192,81,True,,Polydor Records,0.641,0.559,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,4
spotify:track:2VxeLyX666F8uXCJ0dZF8B,Shallow,A Star Is Born Soundtrack,"Lady Gaga,Bradley Cooper",2018-10-05,215733,88,False,"art pop,pop",A Star is Born OST,0.577,0.385,-6.362,1,0.03,0.371,0.0,0.231,0.331,95.82,4
spotify:track:4kV4N9D1iKVxx1KLvtTpjS,break up with your girlfriend i'm bored,thank u next,Ariana Grande,2019-02-08,190440,77,True,pop,Republic Records,0.727,0.554,-5.29,0,0.0915,0.0421,0.0,0.106,0.335,170.0,4
